symbol,name,market,latestClosingDate,c,c63,c126,c189,c252,is_valid,rs_index,rs
1439.T,安江工務店,スタンダード（内国株式）,1970-01-01,1259.0,997.0,1083.0,916.0,946.0,1.0,27.868184565722164,82
1443.T,技研ホールディングス,スタンダード（内国株式）,1970-01-01,222.0,222.0,237.0,216.0,219.0,1.0,-0.43629462651484513,27
1446.T,キャンディル,スタンダード（内国株式）,1970-01-01,638.0,569.0,510.0,494.0,587.0,1.0,17.437831534575167,69
1447.T,ＩＴｂｏｏｋホールディングス,グロース（内国株式）,1970-01-01,345.0,390.0,393.0,412.0,420.0,1.0,-13.88198846288226,8
1450.T,田中建設工業,スタンダード（内国株式）,1970-01-01,2198.0,2341.0,2620.0,2354.0,2158.0,1.0,-6.619464246770804,15
1451.T,ＫＨＣ,スタンダード（内国株式）,1970-01-01,706.0,646.0,646.0,603.0,631.0,1.0,11.366186571749237,57
1491.T,中外鉱業,スタンダード（内国株式）,1970-01-01,30.0,29.0,31.0,29.0,29.0,1.0,2.1134593993325916,34
1514.T,住石ホールディングス,スタンダード（内国株式）,1970-01-01,387.0,352.0,366.0,399.0,262.0,1.0,14.065294684305218,63
1515.T,日鉄鉱業,プライム（内国株式）,1970-01-01,5360.0,3765.0,3740.0,3135.0,2930.0,1.0,56.39026080229178,95
1518.T,三井松島ホールディングス,プライム（内国株式）,1970-01-01,2906.0,2685.0,3620.0,3255.0,3560.0,1.0,-6.470936935064678,15
1605.T,ＩＮＰＥＸ,プライム（内国株式）,1970-01-01,2101.0,1557.5,1517.0,1505.0,1556.0,1.0,36.58308034535115,89
1662.T,石油資源開発,プライム（内国株式）,1970-01-01,4925.0,4335.0,5130.0,4265.0,3925.0,1.0,12.835340073648362,60
1663.T,Ｋ＆Ｏエナジーグループ,プライム（内国株式）,1970-01-01,2478.0,2224.0,2250.0,2296.0,1653.0,1.0,18.162229023739535,70
1711.T,ＳＤＳホールディングス,スタンダード（内国株式）,1970-01-01,245.0,270.0,322.0,417.0,435.0,1.0,-25.471345062880236,2
1712.T,ダイセキ環境ソリューション,プライム（内国株式）,1970-01-01,1303.0,994.0,912.0,837.0,908.0,1.0,40.84461555173404,91
1716.T,第一カッター興業,プライム（内国株式）,1970-01-01,1310.0,1245.0,1089.0,1145.0,1277.0,1.0,9.546055331999115,54
1717.T,明豊ファシリティワークス,スタンダード（内国株式）,1970-01-01,752.0,740.0,807.0,705.0,665.0,1.0,3.2354502250804344,37
1718.T,美樹工業,スタンダード（内国株式）,1970-01-01,4430.0,4405.0,3975.0,4025.0,4005.0,1.0,6.651092358475505,46
1719.T,安藤・間,プライム（内国株式）,1970-01-01,1203.0,1038.0,875.0,833.0,870.0,1.0,30.394250195194683,85
1720.T,東急建設,プライム（内国株式）,1970-01-01,777.0,712.0,702.0,636.0,660.0,1.0,13.767854339616054,62
1721.T,コムシスホールディングス,プライム（内国株式）,1970-01-01,3134.0,2788.5,2498.0,2408.0,2575.0,1.0,20.419791135422777,74
1723.T,日本電技,スタンダード（内国株式）,1970-01-01,4280.0,3840.0,3585.0,3145.0,3250.0,1.0,22.016867300856962,76
1724.T,シンクレイヤ,スタンダード（内国株式）,1970-01-01,649.0,611.0,649.0,586.0,665.0,1.0,4.156692681861897,40
1726.T,ビーアールホールディングス,プライム（内国株式）,1970-01-01,391.0,382.0,354.0,330.0,341.0,1.0,9.662324873807131,54
1730.T,麻生フオームクリート,スタンダード（内国株式）,1970-01-01,431.0,427.0,407.0,461.0,503.0,1.0,-2.6102730604937516,22
1736.T,オーテック,スタンダード（内国株式）,1970-01-01,2455.0,2190.0,2131.0,2233.0,2335.0,1.0,10.897202281949331,56
1739.T,メルディアＤＣ,グロース（内国株式）,1970-01-01,806.0,843.0,906.0,784.0,943.0,1.0,-6.3075360277162265,16
1743.T,コーアツ工業,スタンダード（内国株式）,1970-01-01,1250.0,1154.0,1123.0,1158.0,1823.3333740234373,1.0,0.8894529693386138,31
1757.T,創建エース,スタンダード（内国株式）,1970-01-01,35.0,46.0,34.0,35.0,31.0,1.0,-6.396336935896378,16
1758.T,太洋基礎工業,スタンダード（内国株式）,1970-01-01,2244.0,2556.666748046875,1846.6666259765625,1683.3333740234375,1810.0,1.0,10.868427940185443,56
1762.T,高松コンストラクショングループ,プライム（内国株式）,1970-01-01,2633.0,2387.0,2016.0,1905.0,1910.0,1.0,25.457086277346182,79
1764.T,工藤建設,スタンダード（内国株式）,1970-01-01,2400.0,2600.0,2500.0,2210.0,2172.0,1.0,-0.05801854953626159,28
1766.T,東建コーポレーション,プライム（内国株式）,1970-01-01,7790.0,7620.0,7890.0,7560.0,8470.0,1.0,-0.3582984248914229,27
1768.T,ソネック,スタンダード（内国株式）,1970-01-01,1010.0,978.0,981.0,962.0,1042.0,1.0,2.2837444343294164,35
1770.T,藤田エンジニアリング,スタンダード（内国株式）,1970-01-01,1037.0,904.0,900.0,858.0,912.0,1.0,15.843122439326446,66
1773.T,ワイ・ティー・エル・コーポレーション・バーハッド,プライム（外国株式）,1970-01-01,49.0,25.0,17.0,18.0,17.0,1.0,148.13856209150327,99
1775.T,富士古河Ｅ＆Ｃ,スタンダード（内国株式）,1970-01-01,4020.0,3660.0,3650.0,3340.0,3350.0,1.0,14.03367977720732,63
1776.T,三井住建道路,スタンダード（内国株式）,1970-01-01,997.0,902.0,909.0,830.0,908.0,1.0,12.133502738232881,59
1780.T,ヤマウラ,プライム（内国株式）,1970-01-01,1249.0,1177.0,1123.0,1004.0,955.0,1.0,15.728434360310253,66
1783.T,アジアゲートホールディングス,スタンダード（内国株式）,1970-01-01,49.0,52.0,64.0,74.0,59.0,1.0,-17.14177957292364,6
1786.T,オリエンタル白石,プライム（内国株式）,1970-01-01,326.0,299.0,329.0,272.0,251.0,1.0,13.376353165934567,61
1787.T,ナカボーテック,スタンダード（内国株式）,1970-01-01,5450.0,4925.0,5010.0,4470.0,4830.0,1.0,12.972521673525932,60
1788.T,三東工業社,スタンダード（内国株式）,1970-01-01,2997.0,3910.0,2930.0,2655.0,2650.0,1.0,-3.6876764577573997,20
1789.T,ＥＴＳホールディングス,スタンダード（内国株式）,1970-01-01,680.0,655.0,583.0,610.0,660.0,1.0,7.755475910971599,49
1793.T,大本組,スタンダード（内国株式）,1970-01-01,7290.0,7380.0,6750.0,5890.0,6580.0,1.0,8.024069867153278,50
1795.T,マサル,スタンダード（内国株式）,1970-01-01,3570.0,3335.0,3300.0,3135.0,3300.0,1.0,8.86643759459983,52
1798.T,守谷商会,スタンダード（内国株式）,1970-01-01,2586.0,2260.0,2235.0,2181.0,2380.0,1.0,14.355836248481168,63
1799.T,第一建設工業,スタンダード（内国株式）,1970-01-01,1496.0,1496.0,1421.0,1420.0,1469.0,1.0,2.493614191630179,35
1801.T,大成建設,プライム（内国株式）,1970-01-01,4964.0,4568.0,4515.0,4025.0,4215.0,1.0,13.676338915449806,62
1802.T,大林組,プライム（内国株式）,1970-01-01,1335.0,1180.0,1023.0,993.0,965.0,1.0,25.91055533804566,80
1803.T,清水建設,プライム（内国株式）,1970-01-01,987.5999755859376,868.5,746.0,709.0,761.0,1.0,25.776806424631488,79
1805.T,飛島建設,プライム（内国株式）,1970-01-01,1324.0,1236.0,1119.0,1013.0,1069.0,1.0,17.422873676392967,69
1807.T,佐藤渡辺,スタンダード（内国株式）,1970-01-01,2480.0,2519.0,2430.0,2250.0,2600.0,1.0,0.913596784727304,31
1808.T,長谷工コーポレーション,プライム（内国株式）,1970-01-01,1832.5,1665.5,1573.0,1469.0,1618.0,1.0,14.910601778661995,64
1810.T,松井建設,プライム（内国株式）,1970-01-01,755.0,682.0,660.0,562.0,586.0,1.0,19.79655829634653,72
1811.T,錢高組,スタンダード（内国株式）,1970-01-01,3905.0,3060.0,2957.0,2641.0,3220.0,1.0,31.284445744062577,85
1812.T,鹿島建設,プライム（内国株式）,1970-01-01,2430.0,2055.0,1649.0,1494.0,1458.0,1.0,42.63513140796265,92
1813.T,不動テトラ,プライム（内国株式）,1970-01-01,1852.0,1772.0,1657.0,1498.0,1540.0,1.0,12.937770038913271,60
1814.T,大末建設,プライム（内国株式）,1970-01-01,1487.0,1282.0,1203.0,1183.0,1538.0,1.0,15.594062308812218,65
1815.T,鉄建建設,プライム（内国株式）,1970-01-01,2037.0,1994.0,1850.0,1759.0,1782.0,1.0,8.907049114402726,52
1820.T,西松建設,プライム（内国株式）,1970-01-01,3758.0,3449.0,3620.0,3830.0,4035.0,1.0,2.597112891724934,35
1821.T,三井住友建設,プライム（内国株式）,1970-01-01,409.0,365.0,431.0,415.0,452.0,1.0,1.6092246439228746,33
1822.T,大豊建設,プライム（内国株式）,1970-01-01,4030.0,3840.0,3920.0,4175.0,4060.0,1.0,1.6979971267879441,33
1826.T,佐田建設,スタンダード（内国株式）,1970-01-01,480.0,446.0,504.0,451.0,435.0,1.0,5.45194296124912,43
1827.T,ナカノフドー建設,スタンダード（内国株式）,1970-01-01,391.0,380.0,358.0,316.0,299.0,1.0,13.902151752720648,62
1828.T,田辺工業,スタンダード（内国株式）,1970-01-01,1444.0,1058.0,995.0,902.0,913.0,1.0,47.26841924152642,93
1833.T,奥村組,プライム（内国株式）,1970-01-01,4610.0,3880.0,3290.0,2910.0,2934.0,1.0,38.658614312501925,90
1835.T,東鉄工業,プライム（内国株式）,1970-01-01,2820.0,2611.0,2748.0,2528.0,2319.0,1.0,10.356810368707414,55
1840.T,土屋ホールディングス,スタンダード（内国株式）,1970-01-01,242.0,204.0,198.0,197.0,245.0,1.0,16.21905479619936,67
1841.T,サンユー建設,スタンダード（内国株式）,1970-01-01,937.0,910.0,940.0,839.0,863.0,1.0,5.174045677825194,43
1844.T,大盛工業,スタンダード（内国株式）,1970-01-01,195.0,193.0,188.0,177.0,183.0,1.0,4.504562338005368,41
1847.T,イチケン,プライム（内国株式）,1970-01-01,2073.0,1887.0,1862.0,1763.0,1815.0,1.0,12.568854580371113,60
1848.T,富士ピー・エス,スタンダード（内国株式）,1970-01-01,468.0,434.0,458.0,435.0,465.0,1.0,5.216595413077677,43
1850.T,南海辰村建設,スタンダード（内国株式）,1970-01-01,332.0,336.0,319.0,303.0,324.0,1.0,2.746875125388839,36
1852.T,淺沼組,プライム（内国株式）,1970-01-01,3620.0,3160.0,3370.0,2900.0,2820.0,1.0,17.945740441976675,70
1853.T,森組,スタンダード（内国株式）,1970-01-01,306.0,300.0,299.0,291.0,299.0,1.0,2.767382684549874,36
1860.T,戸田建設,プライム（内国株式）,1970-01-01,823.5999755859375,795.5999755859375,711.0,705.0,673.0,1.0,12.415132343504137,59
1861.T,熊谷組,プライム（内国株式）,1970-01-01,3390.0,3085.0,2826.0,2539.0,2656.0,1.0,20.176661535414432,73
1866.T,北野建設,スタンダード（内国株式）,1970-01-01,3080.0,2957.0,3040.0,2473.0,2312.0,1.0,13.47962239353829,61
1867.T,植木組,スタンダード（内国株式）,1970-01-01,1515.0,1294.0,1409.0,1272.0,1262.0,1.0,16.166406773259652,67
1870.T,矢作建設工業,プライム（内国株式）,1970-01-01,1252.0,1099.0,851.0,736.0,760.0,1.0,41.96201318410504,92
1871.T,ピーエス三菱,プライム（内国株式）,1970-01-01,793.0,708.0,666.0,606.0,646.0,1.0,19.338774453866904,72
1873.T,日本ハウスホールディングス,プライム（内国株式）,1970-01-01,381.0,383.0,407.0,439.0,414.0,1.0,-5.723090481288441,16
1878.T,大東建託,プライム（内国株式）,1970-01-01,16415.0,13590.0,12950.0,14320.0,13970.0,1.0,20.092624368799665,73
1879.T,新日本建設,プライム（内国株式）,1970-01-01,1239.0,1160.0,961.0,743.0,719.0,1.0,36.32559056478467,89
1882.T,東亜道路工業,プライム（内国株式）,1970-01-01,5120.0,4125.0,7110.0,5850.0,5860.0,1.0,-0.9705885652487798,26
1884.T,日本道路,プライム（内国株式）,1970-01-01,9720.0,8830.0,7090.0,5880.0,6100.0,1.0,36.38068688704379,89
1885.T,東亜建設工業,プライム（内国株式）,1970-01-01,3670.0,3125.0,2700.0,2263.0,2407.0,1.0,37.09039757774841,89
1887.T,日本国土開発,プライム（内国株式）,1970-01-01,617.0,583.0,569.0,557.0,595.0,1.0,6.913826414614912,47
1888.T,若築建設,プライム（内国株式）,1970-01-01,3035.0,3225.0,3350.0,2680.0,2354.0,1.0,4.197963915775099,40
1890.T,東洋建設,プライム（内国株式）,1970-01-01,1115.0,997.0,893.0,831.0,870.0,1.0,22.17352938263772,76
1893.T,五洋建設,プライム（内国株式）,1970-01-01,870.0,723.2000122070312,664.0,632.0,727.0,1.0,25.789908301774915,80
1897.T,金下建設,スタンダード（内国株式）,1970-01-01,2799.0,2810.0,2748.0,2893.0,3140.0,1.0,-2.607223565010743,22
1898.T,世紀東急工業,プライム（内国株式）,1970-01-01,1680.0,1309.0,838.0,774.0,756.0,1.0,79.28766094713943,98
1899.T,福田組,プライム（内国株式）,1970-01-01,4805.0,4680.0,4545.0,4700.0,4745.0,1.0,2.9121967775998727,37
1904.T,大成温調,スタンダード（内国株式）,1970-01-01,2271.0,2012.0,2043.0,1868.0,1874.0,1.0,15.932818636548784,66
1905.T,テノックス,スタンダード（内国株式）,1970-01-01,1232.0,1002.0,956.0,859.0,890.0,1.0,31.325605442472863,85
1909.T,日本ドライケミカル,スタンダード（内国株式）,1970-01-01,2095.0,1655.0,1768.0,1507.0,1602.0,1.0,28.291925880158708,82
1911.T,住友林業,プライム（内国株式）,1970-01-01,4145.0,3198.0,2645.0,2347.0,2283.0,1.0,54.820615680235306,95
1914.T,日本基礎技術,スタンダード（内国株式）,1970-01-01,491.0,505.0,535.0,544.0,522.0,1.0,-5.890039579539459,16
1921.T,巴コーポレーション,スタンダード（内国株式）,1970-01-01,535.0,446.0,430.0,379.0,429.0,1.0,26.039698625841336,80
1925.T,大和ハウス工業,プライム（内国株式）,1970-01-01,4084.0,3691.0,3139.0,3051.0,3074.0,1.0,23.622827195124056,77
1926.T,ライト工業,プライム（内国株式）,1970-01-01,2034.0,1950.0,1962.0,1972.0,1897.0,1.0,4.530210995071622,41
1928.T,積水ハウス,プライム（内国株式）,1970-01-01,3017.0,2794.5,2610.5,2468.5,2467.0,1.0,15.202024489929592,65
1929.T,日特建設,プライム（内国株式）,1970-01-01,1100.0,989.0,980.0,904.0,910.0,1.0,15.450470168870678,65
1930.T,北陸電気工事,プライム（内国株式）,1970-01-01,977.0,873.0,777.0,668.0,750.0,1.0,25.218013036009207,79
1934.T,ユアテック,プライム（内国株式）,1970-01-01,969.0,818.0,778.0,715.0,742.0,1.0,25.517382275269906,79
1938.T,日本リーテック,プライム（内国株式）,1970-01-01,1274.0,1367.0,891.0,722.0,824.0,1.0,32.088983262408526,86
1939.T,四電工,プライム（内国株式）,1970-01-01,2765.0,2086.0,1945.0,1732.0,1849.0,1.0,43.28847571133575,92
1941.T,中電工,プライム（内国株式）,1970-01-01,2423.0,2206.0,2178.0,2058.0,2123.0,1.0,12.557816406659574,60
1942.T,関電工,プライム（内国株式）,1970-01-01,1359.0,1072.0,896.0,850.0,836.0,1.0,45.53220896317536,93
1944.T,きんでん,プライム（内国株式）,1970-01-01,2057.0,1877.0,1550.0,1446.0,1512.0,1.0,26.037737589088866,80
1945.T,東京エネシス,プライム（内国株式）,1970-01-01,1016.0,953.0,917.0,912.0,1015.0,1.0,7.103902236062873,48
1946.T,トーエネック,プライム（内国株式）,1970-01-01,4175.0,3645.0,3455.0,3320.0,3490.0,1.0,19.060163047566355,71
1948.T,弘電社,スタンダード（内国株式）,1970-01-01,4805.0,4370.0,4540.0,4075.0,4175.0,1.0,11.749880402647522,58
1949.T,住友電設,プライム（内国株式）,1970-01-01,2906.0,2820.0,2469.0,2425.0,2609.0,1.0,11.003497540503785,57
1950.T,日本電設工業,プライム（内国株式）,1970-01-01,2171.0,1906.0,1553.0,1606.0,1770.0,1.0,25.08736255616798,79
1951.T,エクシオグループ,プライム（内国株式）,1970-01-01,3117.0,2759.0,2421.0,2111.0,2119.0,1.0,29.890542012822042,84
1952.T,新日本空調,プライム（内国株式）,1970-01-01,2495.0,2232.0,1999.0,1867.0,1836.0,1.0,23.58176223931851,77
1959.T,九電工,プライム（内国株式）,1970-01-01,4518.0,3812.0,3465.0,3210.0,2825.0,1.0,33.62148017612508,87
1960.T,サンテック,スタンダード（内国株式）,1970-01-01,656.0,639.0,625.0,620.0,616.0,1.0,4.516154375585543,41
1961.T,三機工業,プライム（内国株式）,1970-01-01,1625.0,1486.0,1542.0,1542.0,1637.0,1.0,5.748026493945611,44
1963.T,日揮ホールディングス,プライム（内国株式）,1970-01-01,1960.0,1795.0,1770.0,1782.0,1984.0,1.0,7.579592725426153,49
1964.T,中外炉工業,プライム（内国株式）,1970-01-01,2060.0,2017.0,1877.0,1568.0,1600.0,1.0,14.828181900627957,64
1965.T,テクノ菱和,スタンダード（内国株式）,1970-01-01,1200.0,916.0,900.0,866.0,865.0,1.0,34.5277039974927,88
1966.T,高田工業所,スタンダード（内国株式）,1970-01-01,1013.0,995.0,1435.0,1377.0,1214.0,1.0,-13.756137874087083,8
1967.T,ヤマト,スタンダード（内国株式）,1970-01-01,919.0,905.0,837.0,680.0,767.0,1.0,13.571069161650565,61
1968.T,太平電業,プライム（内国株式）,1970-01-01,3940.0,4175.0,4140.0,3030.0,3445.0,1.0,5.6626501227401205,44
1969.T,高砂熱学工業,プライム（内国株式）,1970-01-01,2959.0,2420.0,2126.0,1739.0,1661.0,1.0,46.405594634475676,93
1971.T,中央ビルト工業,スタンダード（内国株式）,1970-01-01,564.0,524.0,523.0,543.0,561.0,1.0,5.501745278208094,44
1972.T,三晃金属工業,スタンダード（内国株式）,1970-01-01,4245.0,4240.0,4120.0,2990.0,2643.0,1.0,21.171202725474984,75
1973.T,ＮＥＣネッツエスアイ,プライム（内国株式）,1970-01-01,1972.0,1964.0,1646.0,1613.0,1695.0,1.0,11.843820149902303,58
1975.T,朝日工業社,プライム（内国株式）,1970-01-01,2384.0,2365.0,2170.0,2080.0,1907.0,1.0,10.21940213827567,55
1976.T,明星工業,プライム（内国株式）,1970-01-01,974.0,927.0,811.0,732.0,736.0,1.0,19.127189357175002,71
1979.T,大氣社,プライム（内国株式）,1970-01-01,4620.0,3790.0,3615.0,3420.0,3200.0,1.0,30.21260429385576,84
1980.T,ダイダン,プライム（内国株式）,1970-01-01,3010.0,2569.0,2440.0,2146.0,2237.0,1.0,26.501847855856585,81
1981.T,協和日成,スタンダード（内国株式）,1970-01-01,1395.0,1390.0,1477.0,1400.0,1244.0,1.0,1.3897502182994117,33
1982.T,日比谷総合設備,プライム（内国株式）,1970-01-01,2266.0,2156.0,2092.0,1899.0,1855.0,1.0,12.0007553028344,59
1992.T,神田通信機,スタンダード（内国株式）,1970-01-01,1755.0,1770.0,1515.0,1550.0,1302.0,1.0,12.433020416780412,59
1994.T,高橋カーテンウォール工業,スタンダード（内国株式）,1970-01-01,507.0,495.0,469.0,489.0,505.0,1.0,3.4055702926631044,38
1997.T,暁飯島工業,スタンダード（内国株式）,1970-01-01,1349.0,1322.0,1330.0,1387.0,1325.0,1.0,0.9169772553839788,31
2001.T,ニップン,プライム（内国株式）,1970-01-01,2100.0,1811.0,1646.0,1573.0,1555.0,1.0,25.609835553647198,79
2002.T,日清製粉グループ本社,プライム（内国株式）,1970-01-01,1940.5,1789.0,1574.0,1592.0,1554.0,1.0,17.39669295381431,69
2003.T,日東富士製粉,スタンダード（内国株式）,1970-01-01,4950.0,4690.0,4485.0,4280.0,4590.0,1.0,8.99053117632223,52
2004.T,昭和産業,プライム（内国株式）,1970-01-01,3000.0,2641.0,2589.0,2410.0,2533.0,1.0,17.19589821440931,68
2009.T,鳥越製粉,スタンダード（内国株式）,1970-01-01,660.0,614.0,600.0,624.0,653.0,1.0,6.364983924396508,46
2053.T,中部飼料,プライム（内国株式）,1970-01-01,1145.0,1080.0,1043.0,1024.0,1077.0,1.0,7.989352055166354,50
2055.T,日和産業,スタンダード（内国株式）,1970-01-01,273.0,247.0,254.0,236.0,270.0,1.0,9.064404750476664,53
2060.T,フィード・ワン,プライム（内国株式）,1970-01-01,814.0,723.0,691.0,665.0,708.0,1.0,16.070189323736127,66
2107.T,東洋精糖,スタンダード（内国株式）,1970-01-01,2213.0,1425.0,926.0,878.0,894.0,1.0,109.83412724418659,99
2108.T,日本甜菜製糖,プライム（内国株式）,1970-01-01,1917.0,1820.0,1730.0,1617.0,1621.0,1.0,11.656359607537151,58
2109.T,ＤＭ三井製糖ホールディングス,プライム（内国株式）,1970-01-01,3040.0,2539.0,2113.0,1944.0,1852.0,1.0,40.77221963814698,91
2112.T,塩水港精糖,スタンダード（内国株式）,1970-01-01,262.0,202.0,207.0,195.0,204.0,1.0,29.753267162246427,84
2114.T,フジ日本精糖,スタンダード（内国株式）,1970-01-01,1118.0,670.0,531.0,483.0,478.0,1.0,101.92773506569368,99
2117.T,ウェルネオシュガー,プライム（内国株式）,1970-01-01,2163.0,1985.0,1704.0,1671.0,1750.0,1.0,19.582915114426548,72
2120.T,ＬＩＦＵＬＬ,プライム（内国株式）,1970-01-01,245.0,253.0,210.0,236.0,173.0,1.0,11.15492248531808,57
2121.T,ＭＩＸＩ,プライム（内国株式）,1970-01-01,2438.0,2743.0,2674.0,2430.0,2327.0,1.0,-5.192969194931585,17
2122.T,インタースペース,スタンダード（内国株式）,1970-01-01,953.0,1040.0,1035.0,1008.0,963.0,1.0,-6.229649070059472,16
2124.T,ジェイエイシーリクルートメント,プライム（内国株式）,1970-01-01,2711.0,2353.0,2499.0,2556.0,1952.0,1.0,16.77199842039526,67
2127.T,日本Ｍ＆Ａセンターホールディングス,プライム（内国株式）,1970-01-01,833.5999755859375,1034.5,1123.0,1924.0,1659.0,1.0,-34.20734940971411,1
2130.T,メンバーズ,プライム（内国株式）,1970-01-01,1268.0,1549.0,1432.0,2125.0,2675.0,1.0,-28.13230569793478,1
2134.T,燦キャピタルマネージメント,スタンダード（内国株式）,1970-01-01,20.0,24.0,14.0,16.0,24.0,1.0,3.571428571428572,38
2136.T,ヒップ,スタンダード（内国株式）,1970-01-01,1105.0,970.0,887.0,751.0,712.0,1.0,30.94921156649181,85
2138.T,クルーズ,スタンダード（内国株式）,1970-01-01,1062.0,866.0,976.0,1391.0,952.0,1.0,8.395927457486293,51
2139.T,中広,スタンダード（内国株式）,1970-01-01,419.0,402.0,404.0,380.0,407.0,1.0,5.076428714610914,42
2146.T,ＵＴグループ,プライム（内国株式）,1970-01-01,2457.0,2937.0,2441.0,2598.0,2729.0,1.0,-9.48504365154134,12
2148.T,アイティメディア,プライム（内国株式）,1970-01-01,1157.0,1274.0,1403.0,1796.0,1774.0,1.0,-21.252085076991456,4
2150.T,ケアネット,グロース（内国株式）,1970-01-01,884.0,853.0,1140.0,1169.0,1246.0,1.0,-13.724091482880233,8
2152.T,幼児活動研究会,スタンダード（内国株式）,1970-01-01,1223.0,1227.0,1230.0,1138.0,1146.0,1.0,2.593432908952164,35
2153.T,Ｅ・Ｊホールディングス,プライム（内国株式）,1970-01-01,1693.0,1522.0,1479.0,1279.0,1310.0,1.0,19.70906982855045,72
2154.T,オープンアップグループ,プライム（内国株式）,1970-01-01,2008.0,1999.0,1935.0,1820.0,1644.0,1.0,7.428769919063106,49
2156.T,セーラー広告,スタンダード（内国株式）,1970-01-01,322.0,304.0,290.0,299.0,298.0,1.0,7.724517397850812,49
2157.T,コシダカホールディングス,プライム（内国株式）,1970-01-01,1369.0,1163.0,948.0,1110.0,820.0,1.0,34.023891786748116,87
2158.T,ＦＲＯＮＴＥＯ,グロース（内国株式）,1970-01-01,661.0,674.0,640.0,960.0,795.0,1.0,-9.715499202172332,12
2160.T,ジーエヌアイグループ,グロース（内国株式）,1970-01-01,2132.0,1114.0,1066.0,1438.0,1554.0,1.0,73.6441245908564,97
2162.T,ｎｍｓ　ホールディングス,スタンダード（内国株式）,1970-01-01,445.0,493.0,494.0,254.0,250.0,1.0,24.76104108415196,78
